dateCreated	nPosts
2015-03-28	2812
2015-03-27	3593
2015-03-26	4063
2015-03-25	4137
2015-03-24	3669
2015-03-23	4164
2016-03-10	43
2015-03-22	2914
2013-04-07	5553
2015-03-21	2608
2013-04-06	6476
2015-03-20	3883
2013-04-05	7101
2013-04-04	7573
2014-04-02	5259
2013-04-09	7945
2014-04-01	4489
2013-04-08	7200
2015-03-19	4023
2013-04-10	8054
2015-03-18	4009
2015-03-17	3951
2015-03-16	2611
2015-03-15	2859
2013-04-14	3678
2016-03-09	28
2015-03-14	2438
2013-04-13	4631
2016-03-08	31
2015-03-13	3394
2013-04-12	7093
2015-03-12	3664
2013-04-11	7840
2016-03-05	15
2016-03-04	27
2016-03-07	46
2016-03-06	22
2016-03-01	48
2016-03-03	32
2016-03-02	75
2013-07-29	58
2013-07-30	74
2013-07-31	62
2013-07-18	66
2013-07-19	136
2010-04-30	132
2013-07-25	92
2013-07-26	57
2013-07-27	49
2013-07-28	54
2013-07-21	43
2013-07-22	54
2013-07-23	56
2013-07-24	72
2012-04-01	75
2010-04-29	111
2012-04-02	74
2012-04-03	59
2012-04-04	69
2013-07-20	73
2010-04-21	80
2010-04-22	167
2010-04-23	92
2010-04-24	76
2010-04-25	124
2010-04-26	140
2010-04-27	152
2010-04-28	102
2010-04-20	122
2010-04-18	114
2010-04-19	154
2010-04-10	89
2010-04-11	87
2010-04-12	122
2010-04-13	136
2010-04-14	139
2010-04-15	141
2010-04-16	136
2010-04-17	108
2010-04-07	135
2010-04-08	136
2010-04-09	118
2016-12-19	32
2016-12-17	23
2010-04-01	149
2016-12-18	27
2010-04-02	11396
2010-04-03	7493
2010-04-04	5725
2010-04-05	95
2010-04-06	94
2016-12-11	17
2016-12-12	20
2016-12-10	6
2016-12-15	11
2016-12-16	22
2016-12-13	12
2016-12-14	14
2015-07-05	1813
2016-12-08	10
2016-12-09	11
2016-12-06	36
2016-12-07	33
2015-07-01	2662
2015-07-02	2725
2015-07-03	2508
2015-07-04	2157
2016-12-01	14
2016-12-04	24
2016-12-05	29
2016-12-02	28
2016-12-03	13
2012-12-30	136
2013-07-07	58
2013-07-08	54
2013-07-09	34
2012-12-31	80
2012-12-26	30
2013-07-14	37
2012-12-27	69
2013-07-15	94
2013-07-16	73
2012-12-24	16
2013-07-17	137
2012-12-25	19
2013-07-10	57
2013-07-11	72
2012-12-28	62
2013-07-12	46
2012-12-29	109
2013-07-13	55
2013-07-03	1093
2013-07-04	56
2013-07-05	66
2013-07-06	50
2013-07-01	5535
2013-07-02	5792
2016-07-25	23
2016-07-24	31
2016-07-23	13
2016-07-22	24
2016-07-21	26
2016-07-20	42
2012-12-11	67
2012-12-12	57
2012-12-10	125
2012-12-04	59
2012-12-05	46
2012-12-02	39
2012-12-03	52
2012-12-08	41
2012-12-09	31
2012-12-06	49
2012-12-07	51
2016-07-19	9
2016-07-18	10
2016-07-17	15
2016-07-16	21
2016-07-15	23
2016-07-31	31
2016-07-30	42
2012-12-22	34
2012-12-23	53
2012-12-20	57
2012-12-21	42
2012-12-15	32
2012-12-16	63
2012-12-13	66
2012-12-14	49
2012-12-19	70
2012-12-17	74
2012-12-18	42
2016-07-29	32
2016-07-28	31
2016-07-27	9
2016-07-26	19
2016-07-03	18
2016-07-02	14
2016-07-01	13
2016-07-14	19
2016-07-13	29
2016-07-12	33
2016-07-11	9
2016-07-10	21
2012-12-01	31
2016-07-09	32
2016-07-08	23
2016-07-07	16
2016-07-06	30
2016-07-05	14
2016-07-04	24
2015-12-01	2869
2015-12-02	2111
2012-08-30	10362
2012-08-31	7257
2010-12-01	190
2010-12-03	90
2010-12-02	199
2010-12-09	115
2010-12-08	154
2010-12-05	91
2010-12-04	81
2010-12-07	133
2012-08-09	8491
2010-12-06	125
2013-03-05	8918
2013-03-06	9556
2013-03-03	30
2013-03-04	7145
2013-03-09	1355
2013-03-07	9208
2013-03-08	8601
2012-08-10	7744
2012-08-11	5399
2013-03-12	7021
2013-03-13	8743
2013-03-10	6436
2013-03-11	8980
2010-12-12	107
